item-area href,Name,Price,Is_Leasable
https://moto.hubbleconnected.com/en/products/106/MotorolaVerveOnes+,Motorola VerveOnes+,,
https://moto.hubbleconnected.com/en/products/4174/MotorolaVerveOnes+MusicEdition,Motorola VerveOnes+ Music Edition,,
https://moto.hubbleconnected.com/en/products/5266/MotorolaEarbuds2,Motorola Earbuds 2,,
https://moto.hubbleconnected.com/en/products/5267/MotorolaEarbudsMetal,Motorola Earbuds Metal,,
https://moto.hubbleconnected.com/en/products/5268/MotorolaEarbudsSport,Motorola Earbuds Sport,,
https://moto.hubbleconnected.com/en/products/5269/MotorolaPulse2,Motorola Pulse 2,,
https://moto.hubbleconnected.com/en/products/5270/MotorolaPulseEscape+,Motorola Pulse Escape+,,
https://moto.hubbleconnected.com/en/products/5271/MotorolaPulseMax,Motorola Pulse Max,,
https://moto.hubbleconnected.com/en/products/5272/MotorolaStream,Motorola Stream,,
https://moto.hubbleconnected.com/en/products/5280/MotorolaSphere,Motorola Sphere,,
https://moto.hubbleconnected.com/en/products/6209/MotorolaVerveLoop500ANC,Motorola VerveLoop 500 ANC,,
https://moto.hubbleconnected.com/en/products/6210/MotorolaVerveBuds500,Motorola VerveBuds 500,,
https://moto.hubbleconnected.com/en/products/6326/MotorolaEscape500ANC,Motorola Escape 500 ANC,,
https://moto.hubbleconnected.com/en/products/6530/MotorolaSquads200,Motorola Squads 200,,
https://moto.hubbleconnected.com/en/products/6532/MotorolaVerveLoop200,Motorola VerveLoop 200,,
https://moto.hubbleconnected.com/en/products/6535/MotorolaEscape800ANC,Motorola Escape 800 ANC,,
https://moto.hubbleconnected.com/en/products/6536/MotorolaVerveLoop2+,Motorola VerveLoop2+,,
https://moto.hubbleconnected.com/en/products/6538/MotorolaPulse200Bass,Motorola Pulse 200 Bass,,
https://moto.hubbleconnected.com/en/products/6818/MotorolaVerveBuds200,Motorola VerveBuds 200,,
https://moto.hubbleconnected.com/en/products/6819/MotorolaVerveBuds400,Motorola VerveBuds 400,,
https://moto.hubbleconnected.com/en/products/6820/MotorolaVerveBuds800,Motorola VerveBuds 800,,
https://moto.hubbleconnected.com/en/products/7005/MotorolaVerveBuds110,Motorola VerveBuds 110,,
https://moto.hubbleconnected.com/en/products/7006/MotorolaVerveBuds300,Motorola VerveBuds 300,,
https://moto.hubbleconnected.com/en/products/7082/MotorolaVerveRap200,Motorola VerveRap 200,,
https://moto.hubbleconnected.com/en/products/7090/MotorolaVerveLoop105,Motorola VerveLoop 105,,
https://moto.hubbleconnected.com/en/products/7092/MotorolaEscape220,Motorola Escape 220,,
https://moto.hubbleconnected.com/en/products/7093/MotorolaPulse120,Motorola Pulse 120,,
https://moto.hubbleconnected.com/en/products/7094/MotorolaVerveRap100,Motorola VerveRap 100,,
https://moto.hubbleconnected.com/en/products/7095/MotorolaVerveRap105,Motorola VerveRap 105,,
https://moto.hubbleconnected.com/en/products/7096/MotorolaPace105,Motorola Pace 105,,
https://moto.hubbleconnected.com/en/products/7097/MotorolaPace115,Motorola Pace 115,,
https://moto.hubbleconnected.com/en/products/7098/MotorolaPace145,Motorola Pace 145,,
https://moto.hubbleconnected.com/en/products/7099/MotorolaPace200,Motorola Pace 200,,
https://moto.hubbleconnected.com/en/products/7100/MotorolaTech3Tri-X,Motorola Tech3 Tri-X,,
https://moto.hubbleconnected.com/en/products/7148/MotorolaVerveBuds320,Motorola VerveBuds 320,,
https://moto.hubbleconnected.com/en/products/7213/MotorolaPace106,Motorola Pace 106,,
https://moto.hubbleconnected.com/en/products/7216/MotorolaPace125,Motorola Pace 125,,
https://moto.hubbleconnected.com/en/products/7251/MotorolaSquads300,Motorola Squads 300,,
https://moto.hubbleconnected.com/en/products/7281/MotorolaVerveBuds100,Motorola VerveBuds 100,,
https://moto.hubbleconnected.com/en/products/7418/MotorolaEarbuds3,Motorola Earbuds 3,,
https://moto.hubbleconnected.com/en/products/7454/MotorolaPace120,Motorola Pace 120,,
https://moto.hubbleconnected.com/en/products/7644/MotoBudsCharge,Moto Buds Charge,,
https://moto.hubbleconnected.com/en/products/104/MotorolaVerveOnes,Motorola VerveOnes,,
https://moto.hubbleconnected.com/en/products/1766/MotorolaVerveOnesMusicEdition,Motorola VerveOnes Music Edition,,
https://moto.hubbleconnected.com/en/products/108/MotorolaVerveLoop+,Motorola VerveLoop+,,
https://moto.hubbleconnected.com/en/products/1767/MotorolaVerveLoop,Motorola VerveLoop,,
https://moto.hubbleconnected.com/en/products/107/MotorolaVerveRider+,Motorola VerveRider+,,
https://moto.hubbleconnected.com/en/products/105/MotorolaVerveRider,Motorola VerveRider,,
https://moto.hubbleconnected.com/en/products/112/MotoSurround,Moto Surround,,
https://moto.hubbleconnected.com/en/products/111/MotoPulse,Moto Pulse,,
https://moto.hubbleconnected.com/en/products/1773/MotorolaPulseEscape,Motorola Pulse Escape,,
https://moto.hubbleconnected.com/en/products/109/MotorolaEarbuds,Motorola Earbuds,,
https://moto.hubbleconnected.com/en/products/110/MotorolaS11-HDWirelessStereoHeadphones,Motorola S11-HD Wireless Stereo Headphones,,
